id;kota;provinsi;hsbgn
Kota_398;SOPPENG;Sulawesi Selatan;5310000
Kota_213;SIJUNJUNG;Sumatera Barat;5310506
Kota_171;BANGKA;Bangka Belitung;5310966
Kota_429;KONAWE SELATAN;Sulawesi Tenggara;5312140
Kota_199;PELALAWAN;Riau;5317852
Kota_424;KOLAKA;Sulawesi Tenggara;5317852
Kota_136;PIDIE JAYA;Aceh;5320000
Kota_161;TEBO;Jambi;5325074
Kota_175;BELITUNG;Bangka Belitung;5329454
Kota_246;LABUHANBATU;Sumatera Utara;5329671
Kota_97;SIDOARJO;Jawa timur;5331000
Kota_102;TULUNGAGUNG;Jawa timur;5341000
Kota_241;BATU BARA;Sumatera Utara;5342398
Kota_406;BANGGAI;Sulawesi Tengah;5350000
Kota_85;MADIUN;Jawa timur;5352000
Kota_243;DELI SERDANG;Sumatera Utara;5352389
Kota_245;KARO;Sumatera Utara;5352389
Kota_263;TAPANULI UTARA;Sumatera Utara;5352389
Kota_264;TOBA;Sumatera Utara;5352389
Kota_427;KONAWE;Sulawesi Tenggara;5353125
Kota_228;MUSI RAWAS;Sumatera Selatan;5353534
Kota_172;BANGKA BARAT;Bangka Belitung;5353763
Kota_227;MUSI BANYUASIN;Sumatera Selatan;5354665
Kota_209;PADANG PARIAMAN;Sumatera Barat;5359912
Kota_186;PRINGSEWU;Lampung;5365312
Kota_234;OGAN KOMERING ULU TIMUR;Sumatera Selatan;5365312
Kota_232;OGAN KOMERING ULU;Sumatera Selatan;5367272
Kota_483;MANOKWARI;Papua Barat;5367272
Kota_153;BATANGHARI;Jambi;5370000
Kota_242;DAIRI;Sumatera Utara;5370987
Kota_248;LABUHANBATU UTARA;Sumatera Utara;5370987
Kota_260;SIMALUNGUN;Sumatera Utara;5370987
Kota_125;ACEH SINGKIL;Aceh;5372633
Kota_193;BENGKALIS;Riau;5373167
Kota_202;SIAK;Riau;5373167
Kota_94;PONOROGO;Jawa timur;5385000
Kota_147;KEPAHIANG;Bengkulu;5388362
Kota_124;ACEH SELATAN;Aceh;5390000
Kota_333;HULU SUNGAI UTARA;Kalimantan Selatan;5390000
Kota_159;TANJUNG JABUNG BARAT;Jambi;5396215
Kota_231;OGAN KOMERING ILIR;Sumatera Selatan;5396321
Kota_230;OGAN ILIR;Sumatera Selatan;5399694
Kota_208;LIMA PULUH KOTA;Sumatera Barat;5407058
Kota_211;PASAMAN BARAT;Sumatera Barat;5407058
Kota_482;KAIMANA;Papua Barat;5413666
Kota_275;BULELENG;Bali;5414419
Kota_277;JEMBRANA;Bali;5414419
Kota_195;INDRAGIRI HULU;Riau;5415429
Kota_201;ROKAN HULU;Riau;5415429
Kota_225;LAHAT;Sumatera Selatan;5415429
Kota_255;PADANG LAWAS;Sumatera Utara;5415429
Kota_257;PAKPAK BHARAT;Sumatera Utara;5415429
Kota_505;MERAUKE;Papua Selatan;5415429
Kota_207;KEPULAUAN MENTAWAI;Sumatera Barat;5421100
Kota_422;BUTON TENGAH;Sulawesi Tenggara;5421708
Kota_158;SAROLANGUN;Jambi;5424338
Kota_381;POLEWALI MANDAR;Sulawesi Barat;5427350
Kota_331;HULU SUNGAI SELATAN;Kalimantan Selatan;5428420
Kota_183;MESUJI;Lampung;5428845
Kota_377;MAMASA;Sulawesi Barat;5428845
Kota_329;BANJAR;Kalimantan Selatan;5430000
Kota_196;KAMPAR;Riau;5434854
Kota_91;PACITAN;Jawa timur;5440000
Kota_233;OGAN KOMERING ULU SELATAN;Sumatera Selatan;5441766
Kota_423;BUTON UTARA;Sulawesi Tenggara;5441766
Kota_491;SORONG SELATAN;Papua Barat Daya;5441893
Kota_150;REJANG LEBONG;Bengkulu;5443169
Kota_490;SORONG;Papua Barat Daya;5443516
Kota_379;MAMUJU TENGAH;Sulawesi Barat;5444856
Kota_419;BOMBANA;Sulawesi Tenggara;5444856
Kota_421;BUTON SELATAN;Sulawesi Tenggara;5444856
Kota_428;KONAWE KEPULAUAN;Sulawesi Tenggara;5444856
Kota_106;KOTA MADIUN;Jawa timur;5450000
Kota_431;MUNA;Sulawesi Tenggara;5453513
Kota_432;MUNA BARAT;Sulawesi Tenggara;5456756
Kota_98;SITUBONDO;Jawa timur;5461000
Kota_176;BELITUNG TIMUR;Bangka Belitung;5462034
Kota_180;LAMPUNG TENGAH;Lampung;5462034
Kota_198;KUANTAN SINGINGI;Riau;5462034
Kota_185;PESISIR BARAT;Lampung;5462956
Kota_190;WAY KANAN;Lampung;5462956
Kota_174;BANGKA TENGAH;Bangka Belitung;5468629
Kota_226;MUARA ENIM;Sumatera Selatan;5468629
Kota_21;KARAWANG;Jawa Barat;5470000
Kota_279;KLUNGKUNG;Bali;5470699
Kota_157;MUARO JAMBI;Jambi;5471919
Kota_148;LEBONG;Bengkulu;5476927
Kota_418;KOTA PALU;Sulawesi Tengah;5480000
Kota_420;BUTON;Sulawesi Tenggara;5486190
Kota_370;BOALEMO;Gorontalo;5488690
Kota_380;PASANGKAYU;Sulawesi Barat;5488948
Kota_280;TABANAN;Bali;5490000
Kota_61;REMBANG;Jawa Tengah;5500000
Kota_137;SIMEULUE;Aceh;5500000
Kota_181;LAMPUNG TIMUR;Lampung;5502238
Kota_244;HUMBANG HASUNDUTAN;Sumatera Utara;5502238
Kota_74;BANGKALAN;Jawa timur;5505000
Kota_154;BUNGO;Jambi;5506758
Kota_155;KERINCI;Jambi;5506758
Kota_187;TANGGAMUS;Lampung;5507151
Kota_224;EMPAT LAWANG;Sumatera Selatan;5517206
Kota_103;KOTA BATU;Jawa timur;5527000
Kota_197;KEPULAUAN MERANTI;Riau;5542906
Kota_235;PENUKAL ABAB LEMATANG ILIR;Sumatera Selatan;5545686
Kota_210;PASAMAN;Sumatera Barat;5555178
Kota_173;BANGKA SELATAN;Bangka Belitung;5559163
Kota_194;INDRAGIRI HILIR;Riau;5559163
Kota_229;MUSI RAWAS UTARA;Sumatera Selatan;5559163
Kota_378;MAMUJU;Sulawesi Barat;5559163
Kota_425;KOLAKA TIMUR;Sulawesi Tenggara;5559163
Kota_184;PESAWARAN;Lampung;5565837
Kota_276;GIANYAR;Bali;5570000
Kota_339;KOTA BANJARBARU;Kalimantan Selatan;5570000
Kota_133;GAYO LUES;Aceh;5577469
Kota_70;KOTA SALATIGA;Jawa Tengah;5580000
Kota_382;BANTAENG;Sulawesi Selatan;5580536
Kota_394;PANGKAJENE DAN KEPULAUAN;Sulawesi Selatan;5580536
Kota_338;TAPIN;Kalimantan Selatan;5590000
Kota_82;KEDIRI;Jawa timur;5592000
Kota_293;BELU;Nusa Tenggara Timur;5595682
Kota_307;SUMBA BARAT;Nusa Tenggara Timur;5603437
Kota_312;TIMOR TENGAH UTARA;Nusa Tenggara Timur;5603437
Kota_289;SUMBAWA BARAT;Nusa Tenggara Barat;5607493
Kota_282;BIMA;Nusa Tenggara Barat;5609516
Kota_285;LOMBOK TENGAH;Nusa Tenggara Barat;5609516
Kota_286;LOMBOK TIMUR;Nusa Tenggara Barat;5609516
Kota_156;MERANGIN;Jambi;5610000
Kota_445;MINAHASA TENGGARA;Sulawesi Utara;5614121
Kota_223;BANYUASIN;Sumatera Selatan;5628795
Kota_484;MANOKWARI SELATAN;Papua Barat;5628795
Kota_487;TELUK WONDAMA;Papua Barat;5628795
Kota_488;MAYBRAT;Papua Barat Daya;5628795
Kota_188;TULANG BAWANG;Lampung;5630283
Kota_376;MAJENE;Sulawesi Barat;5635619
Kota_486;TELUK BINTUNI;Papua Barat;5639212
Kota_66;WONOSOBO;Jawa Tengah;5640000
Kota_178;LAMPUNG BARAT;Lampung;5645383
Kota_426;KOLAKA UTARA;Sulawesi Tenggara;5645383
Kota_430;KONAWE UTARA;Sulawesi Tenggara;5645383
Kota_146;KAUR;Bengkulu;5650000
Kota_328;BALANGAN;Kalimantan Selatan;5660000
Kota_129;ACEH TIMUR;Aceh;5667797
