id;kota;provinsi;hsbgn
Kota_363;KOTA BONTANG;Kalimantan Timur;
Kota_364;KOTA SAMARINDA;Kalimantan Timur;
Kota_369;KOTA TARAKAN;Kalimantan Utara;
Kota_403;KOTA MAKASSAR;Sulawesi Selatan;
Kota_404;KOTA PALOPO;Sulawesi Selatan;
Kota_405;KOTA PAREPARE;Sulawesi Selatan;
Kota_417;TOLITOLI;Sulawesi Tengah;
Kota_434;KOTA BAUBAU;Sulawesi Tenggara;
Kota_435;KOTA KENDARI;Sulawesi Tenggara;
Kota_441;KEPULAUAN SIAU TAGULANDANG BIARO;Sulawesi Utara;
Kota_447;KOTA BITUNG;Sulawesi Utara;
Kota_450;KOTA TOMOHON;Sulawesi Utara;
Kota_461;KOTA TUAL;Maluku;
Kota_470;KOTA TERNATE;Maluku Utara;
Kota_471;KOTA TIDORE KEPULAUAN;Maluku Utara;
Kota_480;KOTA JAYAPURA;Papua;
Kota_481;FAKFAK;Papua Barat;
Kota_493;KOTA SORONG;Papua Barat Daya;
